instance,best_known,IBS_forward_bound_primal,IBS_forward_bound_time_to_best_known,IBS_forward_bound_time_opt,IBS_bi_min_bound_primal,IBS_bi_min_bound_time_to_best_known,IBS_bi_min_bound_time_opt,IBS_forward_idle_primal,IBS_forward_idle_time_to_best_known,IBS_forward_idle_time_opt,IBS_bi_min_idle_primal,IBS_bi_min_idle_time_to_best_known,IBS_bi_min_idle_time_opt,IBS_forward_alpha_primal,IBS_forward_alpha_time_to_best_known,IBS_forward_alpha_time_opt,IBS_bi_min_alpha_primal,IBS_bi_min_alpha_time_to_best_known,IBS_bi_min_alpha_time_opt,IBS_forward_walpha_primal,IBS_forward_walpha_time_to_best_known,IBS_forward_walpha_time_opt,IBS_bi_min_walpha_primal,IBS_bi_min_walpha_time_to_best_known,IBS_bi_min_walpha_time_opt,IBS_forward_gap_primal,IBS_forward_gap_time_to_best_known,IBS_forward_gap_time_opt,IBS_bi_min_gap_primal,IBS_bi_min_gap_time_to_best_known,IBS_bi_min_gap_time_opt,IGbob_30_primal,IGbob_30_time_to_best_known,IGbob_30_time_opt,IGbob_45_primal,IGbob_45_time_to_best_known,IGbob_45_time_opt,IGbob_90_primal,IGbob_90_time_to_best_known,IGbob_90_time_opt
TA20_20_8,2237,2303,-,-,2237,8.171195030212402,-,2240,-,-,2341,-,-,2240,-,-,2341,-,-,2416,-,-,2237,0.34463411569595337,-,2416,-,-,2237,8.514355659484863,-,2237,-,-,2237,-,-,2237,-,-
TA20_20_9,2178,2235,-,-,2178,6.695164680480957,-,2178,14.418298721313477,-,2267,-,-,2178,14.934290885925293,-,2267,-,-,2321,-,-,2178,0.169785276055336,-,2373,-,-,2178,6.815037250518799,-,2178,-,-,2178,-,-,2178,-,-
TA50_5_0,2724,2724,4.66562557220459,-,2724,0.0013531260192394257,0.001798621960915625,2752,-,-,2724,0.017163768410682678,0.01761196181178093,2752,-,-,2724,0.016023194417357445,0.01661962829530239,2880,-,-,2729,-,-,2853,-,-,2724,0.0019749959465116262,0.002469578990712762,2724,-,-,2724,-,-,2724,-,-
TA50_5_1,2834,2855,-,-,2834,0.0008139929850585759,0.0011317620519548655,2834,0.4624902904033661,0.4637051224708557,2834,0.1340259313583374,0.13467350602149963,2834,0.08656733483076096,0.0871388167142868,2834,0.15453852713108063,0.1555606722831726,3018,-,-,2834,2.6560676097869873,2.699725866317749,3018,-,-,2834,0.004882303066551685,0.00526628689840436,2834,-,-,2834,-,-,2834,-,-
TA50_5_2,2621,2647,-,-,2621,0.003091075923293829,0.01413373090326786,2647,-,-,2621,0.04268927872180939,0.04315727949142456,2648,-,-,2621,0.04969672113656998,0.050155140459537506,2838,-,-,2622,-,-,2750,-,-,2621,0.021595444530248642,0.022121159359812737,2621,-,-,2621,-,-,2621,-,-
TA50_5_3,2751,2764,-,-,2751,0.0007914769812487066,0.0011143969604745507,2770,-,-,2751,0.15858225524425507,0.15958088636398315,2770,-,-,2751,0.6597417593002319,0.6627177596092224,3020,-,-,2751,0.36902037262916565,0.37168508768081665,2922,-,-,2751,0.0017335519660264254,0.003538053948432207,2751,-,-,2751,-,-,2751,-,-
TA50_5_4,2863,2863,0.3439468741416931,-,2863,0.009161947295069695,0.009764106012880802,2864,-,-,2863,0.007451922167092562,0.007828411646187305,2864,-,-,2863,0.07838023453950882,0.07879510521888733,3057,-,-,2863,0.06213171035051346,0.06293395906686783,3057,-,-,2863,0.004704571794718504,0.005310597829520702,2863,-,-,2863,-,-,2863,-,-
TA50_5_5,2829,2845,-,-,2829,0.0011208560317754745,0.001570650958456099,2864,-,-,2829,0.7098515629768372,0.7128965258598328,2876,-,-,2829,0.09012749046087265,0.0907924547791481,3005,-,-,2829,2.7486677169799805,2.764187812805176,2980,-,-,2829,0.004664270207285881,0.016417203471064568,2829,-,-,2829,-,-,2829,-,-
TA50_5_6,2725,2746,-,-,2725,0.0017822469817474484,0.02340511605143547,2745,-,-,2725,0.09267523139715195,0.0951879546046257,2745,-,-,2725,0.17353051900863647,0.17454279959201813,2976,-,-,2735,-,-,2976,-,-,2725,0.005959878209978342,0.0064039211720228195,2725,-,-,2725,-,-,2725,-,-
TA50_5_7,2683,2708,-,-,2683,0.00034738099202513695,0.0007557030185125768,2705,-,-,2683,0.02899395115673542,0.029426556080579758,2705,-,-,2683,0.014274397864937782,0.014650832861661911,2923,-,-,2683,0.3623032867908478,0.3642385005950928,2902,-,-,2683,0.0003963630006182939,0.0008195459959097207,2683,-,-,2683,-,-,2683,-,-
TA50_5_8,2552,2576,-,-,2552,0.0007905500242486596,0.001125604030676186,2627,-,-,2552,0.18297432363033295,0.18402452766895294,2640,-,-,2552,0.3295460045337677,0.331265389919281,2778,-,-,2552,1.3621114492416382,1.3704533576965332,2716,-,-,2552,0.004573035053908825,0.005091920029371977,2552,-,-,2552,-,-,2552,-,-
TA50_5_9,2782,2783,-,-,2782,0.0017682630568742752,0.006826612167060375,2786,-,-,2782,0.7047143578529358,0.7074124813079834,2789,-,-,2782,0.360576331615448,0.3621142506599426,2994,-,-,2782,2.9892773628234863,3.03861665725708,2957,-,-,2782,0.0018309029983356595,0.0031244370620697737,2782,-,-,2782,-,-,2782,-,-
TA50_10_0,2991,3143,-,-,2991,0.304629385471344,0.4739847779273987,3112,-,-,3090,-,-,3037,-,-,3044,-,-,3579,-,-,3007,-,-,3579,-,-,2991,0.44798845052719116,0.5415045619010925,3022,-,-,3014,-,-,3022,-,-
