instance,best_known,IGrms,VBIH,GmysBB,IGbob_90_primal,IGbob_90_time_to_best_known,IGbob_90_time_to_improve,IGbob_90_time_opt,IBS_bi_min_walpha_primal,IBS_bi_min_walpha_time_to_best_known,IBS_bi_min_walpha_time_to_improve,IBS_bi_min_walpha_time_opt,IBS_bi_min_gap_primal,IBS_bi_min_gap_time_to_best_known,IBS_bi_min_gap_time_to_improve,IBS_bi_min_gap_time_opt
VFR600_20_10,31021,31514,31397,31021,31107,-,-,31264,-,-,-,31021,16.49203872680664,-,16.64594268798828
VFR600_40_1,33618,33618,33683,missing,33598,-,-,33337,5.240882873535156,5.240882873535156,-,35264,-,-,-
VFR600_40_2,33396,33396,33713,missing,33362,-,-,33155,5.0782575607299805,5.0782575607299805,-,34765,-,-,-
VFR600_40_3,33356,33356,33584,missing,33591,-,-,33404,-,-,-,35364,-,-,-
VFR600_40_4,33401,33612,33401,missing,33522,-,-,33231,10.233983039855957,10.233983039855957,-,34777,-,-,-
VFR600_40_5,33477,33477,33626,missing,33307,-,-,33157,2.5283913612365723,2.5283913612365723,-,34809,-,-,-
VFR600_40_6,33307,33307,33545,missing,33598,-,-,33420,-,-,-,35006,-,-,-
VFR600_40_7,33298,33552,33298,missing,33502,-,-,33320,-,-,-,35204,-,-,-
VFR600_40_8,33492,33492,33567,missing,33303,-,-,33052,1.2133733034133911,1.2133733034133911,-,34590,-,-,-
VFR600_40_9,33282,33282,33473,missing,33445,-,-,33268,81.08695983886719,81.08695983886719,-,35346,-,-,-
VFR600_40_10,33405,33422,33405,missing,33417,-,-,33257,20.346574783325195,20.346574783325195,-,35186,-,-,-
VFR600_60_1,35863,35863,35976,missing,35867,-,-,35450,29.200611114501953,29.200611114501953,-,38094,-,-,-
VFR600_60_2,35804,35804,35917,missing,35796,-,-,35450,58.708003997802734,58.708003997802734,-,38503,-,-,-
VFR600_60_3,35791,35791,36000,missing,35958,-,-,35584,234.11846923828125,234.11846923828125,-,38501,-,-,-
VFR600_60_4,35896,35896,36004,missing,35855,-,-,35454,29.12543487548828,29.12543487548828,-,38457,-,-,-
VFR600_60_5,35883,35883,35943,missing,35888,-,-,35466,58.14647674560547,58.14647674560547,-,38104,-,-,-
VFR600_60_6,35929,35929,35965,missing,35844,-,-,35370,58.259979248046875,58.259979248046875,-,38848,-,-,-
VFR600_60_7,35828,35828,35894,missing,36009,-,-,35500,117.98623657226562,117.98623657226562,-,38517,-,-,-
VFR600_60_8,35882,35882,35987,missing,35932,-,-,35368,28.913965225219727,28.913965225219727,-,38558,-,-,-
VFR600_60_9,35784,35784,35943,missing,35906,-,-,35466,118.1299057006836,118.1299057006836,-,39184,-,-,-
